+Articles 	 sapiens/branches/Aryan/kentum/germanic/english/USA/articles/
+Aryan 	 sapiens/branches/Aryan/
+Branches 	 sapiens/branches/
+English 	 sapiens/branches/Aryan/kentum/germanic/english/
+Germanic 	 sapiens/branches/Aryan/kentum/germanic/
+Kentum-like 	 sapiens/branches/Aryan/kentum/
+Notes 	 
+Sapiens 	 sapiens/
+USA 	 sapiens/branches/Aryan/kentum/germanic/english/USA/
+मानसतरङ्गिणीकृल्-लेखाः 	 sapiens/branches/Aryan/kentum/germanic/english/USA/articles/MT_lekhAH/
A geopolitical roundup 	 sapiens/branches/Aryan/kentum/germanic/english/USA/articles/MT_lekhAH/2024-11-10_a-geopolitical-round-up-vijayavijaya-and-related-i/
+Articles 	 power/sustainability/articles/
+Metastatic modernity 	 power/sustainability/articles/tom_murphy/metastatic-modernity/
+Sustainability 	 power/sustainability/
+Tom Murphy 	 power/sustainability/articles/tom_murphy/
MM #10 Ditch the Bad? 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-08-02_mm-10-ditch-the-bad/
Power 	 power/
MM ##9 Recipe for 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-30_mm-9-recipe-for-disaster/
MM #7 Ecological 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-23_mm-7-ecological-nosedive/
MM #6 Accidental 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-19_mm-6-accidental-tourists/
MM #5 Our Biological 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-16_mm-5-our-biological-inheritance/
+Articles 	 general_biology/organism/heredetary_info/evolution/articles/
+Evolution 	 general_biology/organism/heredetary_info/evolution/
+General Biology 	 general_biology/
+Heredetary info 	 general_biology/organism/heredetary_info/
+Organism 	 general_biology/organism/
MM ##4 Evolution 	 general_biology/organism/heredetary_info/evolution/articles/2024-07-12_mm-4-evolution/
MM ##4 Evolution 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-12_mm-4-evolution/
MM #3 Early Life 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-09_mm-3-early-life/
MM #2 Cosmology 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-05_mm-2-cosmology/
Metastatic Modernity 	 power/sustainability/articles/tom_murphy/metastatic-modernity/2024-07-02_metastatic-modernity-launch/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/4_post-brit/geopolitics/articles/
+Geopolitics 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/4_post-brit/geopolitics/
+India 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/
+Indo-aryan 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/
+Indo-iranian 	 sapiens/branches/Aryan/satem/indo-iranian/
+MT 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/4_post-brit/geopolitics/articles/MT/
+Politics 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/
+Satem-like 	 sapiens/branches/Aryan/satem/
4 Post Brit 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/4_post-brit/
Indian elections 2024 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/politics/4_post-brit/geopolitics/articles/MT/2024-06-08_indian-elections-2024/
What's the Point? 	 power/sustainability/articles/tom_murphy/2024-05-14_whats-the-point/
PostModernity 	 power/sustainability/articles/tom_murphy/2024-04-09_post-modernity/
Distilled Disintegration 	 power/sustainability/articles/tom_murphy/2024-04-02_distilled-disintegration/
+Person 	 sapiens/branches/Aryan/kentum/germanic/english/USA/person/
+Scholar 	 sapiens/branches/Aryan/kentum/germanic/english/USA/person/scholar/
+Tom murphy 	 sapiens/branches/Aryan/kentum/germanic/english/USA/person/scholar/tom_murphy/
Confessions of a 	 sapiens/branches/Aryan/kentum/germanic/english/USA/person/scholar/tom_murphy/2023-12-05_confessions-of-a-disillusioned-scientist/
+Articles 	 sapiens/society/geopolitics/articles/
+Geopolitics 	 sapiens/society/geopolitics/
+MT 	 sapiens/society/geopolitics/articles/MT/
+Society 	 sapiens/society/
A Geopolitical 	 sapiens/society/geopolitics/articles/MT/2023-10-29_a-geopolitical-meandering-october-2023/
Our Time on the River 	 power/sustainability/articles/tom_murphy/2023-08-22_our-time-on-the-river/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/marATha/shiva-age/articles/
+Maratha age 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/marATha/
+Persons 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/
+Shiva age 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/marATha/shiva-age/
+xatra v2 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/
jAti-varNa practice 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/
ShivaJi, Jai Singh, and 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/marATha/shiva-age/articles/2023-06-05_shivaji-jai-singh-and-combat-theology-in-praxis/
Looking back at the 	 sapiens/branches/Aryan/kentum/germanic/english/USA/articles/MT_lekhAH/2023-06-02_looking-back-at-the-goroga-attacks-and-forward-at-/
+Articles 	 sapiens/branches/Trans-eurasian/hunnic/mongol/articles/
+Hunnic 	 sapiens/branches/Trans-eurasian/hunnic/
+Mongol 	 sapiens/branches/Trans-eurasian/hunnic/mongol/
+Trans Eurasian 	 sapiens/branches/Trans-eurasian/
Khitans and Mongols A 	 sapiens/branches/Trans-eurasian/hunnic/mongol/articles/2023-05-24_khitans-and-mongols-a-story-of-deep-and-persistent/
+Articles 	 sapiens/society/crime/articles/
+Crime 	 sapiens/society/crime/
+MT 	 sapiens/society/crime/articles/MT/
The rise of the 	 sapiens/society/crime/articles/MT/2023-05-15_the-rise-of-the-psychopath-oligarchy/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v1/articles/
+brAhmaNas 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v1/
Journey to the East 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v1/articles/2023-03-31_Journey_to_the_East/
+Articles 	 sapiens/branches/Aryan/kentum/mediterranian/articles/
+Mediterranian 	 sapiens/branches/Aryan/kentum/mediterranian/
+Pre-roman 	 sapiens/branches/Aryan/kentum/mediterranian/articles/pre-roman/
Indian DNA in the Greek 	 sapiens/branches/Aryan/kentum/mediterranian/articles/pre-roman/2023-01-17_Indian_DNA_in_the_Greek_Age_of_Heroes/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/misc_v2/articles/
Misc v2 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/misc_v2/
The Sacrifice to the 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/jAti-varNa-practice/v2/persons/misc_v2/articles/2022-07-07_the-sacrifice-to-the-fourteen-gods-of-tripura-of-t/
+Articles 	 sapiens/branches/Trans-eurasian/hunnic/turks/articles/
+मानसतरङ्गिणीकृल्-लेखाः 	 sapiens/branches/Trans-eurasian/hunnic/turks/articles/MT_lekhAH/
Some notes on the 	 sapiens/branches/Trans-eurasian/hunnic/turks/articles/MT_lekhAH/2022-07-05_some-notes-on-the-runiform-altaic-inscriptions-and/
Turks 	 sapiens/branches/Trans-eurasian/hunnic/turks/
+Articles 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/articles/
+bAlTo-slavic 	 sapiens/branches/Aryan/satem/balto-slavic/
+MT 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/articles/MT/
+Rus 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/
+Slav 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/
Vikīrṇā viṣayāḥ India 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/articles/MT/2022-06-12_vikirNaH-viShayaH-india-and-the-rus/
Geopolitical summary 	 sapiens/branches/Aryan/kentum/germanic/english/USA/articles/MT_lekhAH/2022-03-31_geopolitical-summary-march-2022/
+Articles 	 general_biology/virus/articles/
+Meta articles 	 skills/research/articles/
+MT 	 general_biology/virus/articles/MT/
+Research 	 skills/research/
+Skills 	 skills/
+Virus 	 general_biology/virus/
+मानसतरङ्गिणीकृत् 	 skills/research/articles/MT/
Human retroviruses, 	 general_biology/virus/articles/MT/2022-03-23_human-retroviruses-sociology-of-science-and-biogra/
Human retroviruses, 	 skills/research/articles/MT/2022-03-23_human-retroviruses-sociology-of-science-and-biogra/
+Ukraine invasion 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/articles/ukraine-invasion/
Getting a sense of the 	 sapiens/branches/Aryan/satem/balto-slavic/slavic/rus/articles/ukraine-invasion/2022-03-21_Getting_a_sense_of_the_Russian_soul/
Transcripts of 	 sapiens/society/geopolitics/articles/MT/2022-03-15_transcripts-of-conversations-the-addiction-princip/
+मानसतरङ्गिणीकृल्-लेखाः 	 sapiens/branches/Trans-eurasian/hunnic/mongol/articles/MT_lekhAH/
Huns, Uralics, and 	 sapiens/branches/Trans-eurasian/hunnic/mongol/articles/MT_lekhAH/2022-01-30_huns-uralics-and-empires-of-the-steppe/
Subjective and objective 	 skills/research/articles/MT/2022-01-16_subjective-and-objective-insight/
+Articles 	 general_biology/society/articles/
+MT 	 general_biology/society/articles/MT/
+Society 	 general_biology/society/
On the passing of EO 	 general_biology/society/articles/MT/2021-12-28_on-the-passing-of-e-o-wilson/
Some words on mleccha 	 skills/research/articles/MT/2021-12-26_some-words-on-mleccha-cartels/
‘Nysa in India’ & the 	 sapiens/branches/Aryan/kentum/mediterranian/articles/priyA/2021-12-17_nysa-in-india-the-related-narratives/
‘Nysa in India’ & the 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/dardic/articles/2021-12-17_nysa-in-india-the-related-narratives/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/dardic/articles/
+Dardic 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/dardic/
+Priya 	 sapiens/branches/Aryan/kentum/mediterranian/articles/priyA/
The Sea People 	 sapiens/branches/Aryan/kentum/mediterranian/articles/pre-roman/2021-12-05_The_Sea_People/
+Americas 	 sapiens/branches/americas/
+Articles 	 sapiens/branches/americas/articles/
A whole New World 	 sapiens/branches/americas/articles/2021-09-28_A_whole_New_World/
+Articles 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/articles/
Sons of the Indus The 	 sapiens/branches/Aryan/satem/indo-iranian/indo-aryan/india/articles/2021-09-26_Sons_of_the_Indus_The_Indians/
Why Worry About 	 power/sustainability/articles/tom_murphy/2021-05-18_why-worry-about-collapse/
