puḻu	worm
ñaṇṭ	crab
vaṇṭ	beetle
eṭay	prawn
teḻ	scorpion
	(Mammalia)
pilli	cat
puli	Panthera leopard/tiger
nāy	dog
toḻ	wolf
nari	jackal
uḻupp	deer
mucal	hare
korantt	monkey
mūnkūch	mongoose
panṭi	pig
kaḻutay	ass
kutiray (?)	horse
ām	COW
eruma	buffalo
koṭi	pig
yāṭu	goat
eli	rat
	Vertebrates (fish)
mīn	fish
	Vertebrates (Lepidosauria)
oṭukk	lizard
palli	lizard
kaw-uḷi	lizard
ontti	Calotes lizard
uḍump	Varanus lizard
pāmp	snake
Vertebrates	(Archosauromorpha)
yāmay	turtle
mocaḷ	crocodile
koḻi	chicken
puṭach	pigeon
kiḷi	parrot
parantu	raptor
kuruwi	sparrow
āntay	owl
