State	cereals	pulses	milk products	egg, fish & meat	other food	all
Andhra Pradesh	46	12	11	12	19	100
Assam	52	11	6	16	15	100
Bihar	61	10	9	6	15	100
Chhattisgarh	56	13	6	6	19	100
Gujarat	50	13	17	3	18	100
Haryana	47	10	22	2	20	100
Jharkhand	56	11	9	8	17	100
Karnataka	42	13	11	11	23	100
Kerala	35	9	8	26	21	100
Madhya Pradesh	60	11	11	3	15	100
Maharashtra	46	12	11	9	22	100
Odisha	56	10	7	8	19	100
Punjab	50	11	23	2	15	100
Rajasthan	59	7	18	2	15	100
Tamil Nadu	41	14	12	12	21	100
Uttar Pradesh	57	11	13	5	15	100
West Bengal	47	8	7	19	19	100
all-India	49	11	12	9	18	100
